anio,mes,region,prov,HIDRO <=50MW,energia_gen
2019,1,NOROESTE,SALTA,True,3.9
2019,1,CUYO,SAN JUAN,True,27.8
2019,2,PATAGONIA,CHUBUT,True,9.7
2019,2,CUYO,MENDOZA,True,0.0
2019,2,NOROESTE,TUCUMAN,True,5.7
2019,2,CENTRO,CORDOBA,True,0.0
2019,2,CUYO,MENDOZA,True,6.0
2019,2,CENTRO,CORDOBA,True,5.3
2019,2,CENTRO,CORDOBA,True,0.1
2019,2,COMAHUE,RIO NEGRO,True,2.6
2019,2,COMAHUE,RIO NEGRO,True,2.8
2019,2,CUYO,MENDOZA,True,2.3
2019,2,CUYO,SAN JUAN,True,1.9
2019,2,NOROESTE,TUCUMAN,True,10.8
2019,2,CUYO,MENDOZA,True,3.7
2019,2,CENTRO,CORDOBA,True,2.9
2019,2,CUYO,MENDOZA,True,0.6
2019,2,NOROESTE,JUJUY,True,6.0
2019,2,CENTRO,CORDOBA,True,2.6
2019,2,NOROESTE,SANTIAGO DEL ESTERO,True,0.8
2019,2,CUYO,MENDOZA,True,0.4
2019,2,CENTRO,CORDOBA,True,0.8
2019,2,CUYO,MENDOZA,True,4.9
2019,2,CENTRO,CORDOBA,True,3.3
2019,2,NOROESTE,TUCUMAN,True,3.9
2019,2,CUYO,SAN JUAN,True,0.2
2019,2,CENTRO,CORDOBA,True,6.1
2019,2,COMAHUE,RIO NEGRO,True,0.7
2019,2,NOROESTE,SANTIAGO DEL ESTERO,True,10.6
2019,2,COMAHUE,RIO NEGRO,True,1.6
2019,2,NOROESTE,JUJUY,True,2.4
2019,2,CUYO,SAN JUAN,True,0.0
2019,2,COMAHUE,RIO NEGRO,True,3.2
2019,2,LITORAL,SANTA FE,True,0.0
2019,2,CUYO,SAN JUAN,True,0.0
2019,2,CUYO,MENDOZA,True,1.6
2019,2,CENTRO,CORDOBA,True,7.4
2019,2,NOROESTE,SALTA,True,4.4
2019,2,CUYO,SAN JUAN,True,16.4
2019,3,PATAGONIA,CHUBUT,True,1.6
2019,3,CUYO,MENDOZA,True,0.0
2019,3,NOROESTE,TUCUMAN,True,4.2
2019,3,CENTRO,CORDOBA,True,0.0
2019,3,CUYO,MENDOZA,True,1.9
2019,3,CENTRO,CORDOBA,True,5.3
2019,3,CENTRO,CORDOBA,True,0.2
2019,3,COMAHUE,RIO NEGRO,True,3.1
2019,3,COMAHUE,RIO NEGRO,True,3.3
2019,3,CUYO,MENDOZA,True,2.3
2019,3,CUYO,SAN JUAN,True,3.0
2019,3,NOROESTE,TUCUMAN,True,8.3
2019,3,CUYO,MENDOZA,True,4.0
2019,3,CENTRO,CORDOBA,True,4.8
2019,3,CUYO,MENDOZA,True,0.7
2019,3,NOROESTE,JUJUY,True,8.3
2019,3,CENTRO,CORDOBA,True,2.1
2019,3,NOROESTE,SANTIAGO DEL ESTERO,True,1.0
2019,3,CUYO,MENDOZA,True,0.5
2019,3,CENTRO,CORDOBA,True,0.3
2019,3,CUYO,MENDOZA,True,0.9
2019,3,CENTRO,CORDOBA,True,3.5
2019,3,NOROESTE,TUCUMAN,True,8.4
2019,3,CUYO,SAN JUAN,True,10.0
2019,3,CENTRO,CORDOBA,True,1.3
2019,3,COMAHUE,RIO NEGRO,True,0.5
2019,3,NOROESTE,SANTIAGO DEL ESTERO,True,11.9
2019,3,COMAHUE,RIO NEGRO,True,2.0
2019,3,NOROESTE,JUJUY,True,3.1
2019,3,CUYO,SAN JUAN,True,0.0
2019,3,COMAHUE,RIO NEGRO,True,2.3
2019,3,LITORAL,SANTA FE,True,0.0
2019,3,CUYO,SAN JUAN,True,0.0
2019,3,CUYO,MENDOZA,True,1.7
2019,3,CENTRO,CORDOBA,True,7.7
2019,3,NOROESTE,SALTA,True,3.5
2019,3,CUYO,SAN JUAN,True,12.3
2019,4,PATAGONIA,CHUBUT,True,8.1
2019,4,CUYO,MENDOZA,True,0.0
2019,4,NOROESTE,TUCUMAN,True,2.6
2019,4,CENTRO,CORDOBA,True,0.0
2019,4,CUYO,MENDOZA,True,7.1
2019,4,CENTRO,CORDOBA,True,6.9
2019,4,CENTRO,CORDOBA,True,0.1
2019,4,COMAHUE,RIO NEGRO,True,3.3
2019,4,COMAHUE,RIO NEGRO,True,3.1
2019,4,CUYO,MENDOZA,True,0.9
2019,4,CUYO,SAN JUAN,True,2.1
2019,4,NOROESTE,TUCUMAN,True,9.4
2019,4,CUYO,MENDOZA,True,1.7
2019,4,CENTRO,CORDOBA,True,6.7
2019,4,CUYO,MENDOZA,True,0.6
2019,4,NOROESTE,JUJUY,True,11.6
2019,4,CENTRO,CORDOBA,True,2.8
2019,4,NOROESTE,SANTIAGO DEL ESTERO,True,0.9
2019,4,CUYO,MENDOZA,True,0.4
2019,4,CENTRO,CORDOBA,True,3.8
2019,4,CUYO,MENDOZA,True,0.1
2019,4,CENTRO,CORDOBA,True,3.9
2019,4,NOROESTE,TUCUMAN,True,6.1
2019,4,CUYO,SAN JUAN,True,6.8
2019,4,CENTRO,CORDOBA,True,8.1
2019,4,COMAHUE,RIO NEGRO,True,0.4
2019,4,NOROESTE,SANTIAGO DEL ESTERO,True,11.9
2019,4,COMAHUE,RIO NEGRO,True,2.0
2019,4,NOROESTE,JUJUY,True,2.9
2019,4,CUYO,SAN JUAN,True,0.0
2019,4,COMAHUE,RIO NEGRO,True,1.4
2019,4,LITORAL,SANTA FE,True,0.0
2019,4,CUYO,SAN JUAN,True,0.0
2019,4,CUYO,MENDOZA,True,1.6
2019,4,CENTRO,CORDOBA,True,7.2
2019,4,NOROESTE,SALTA,True,3.5
2019,4,CUYO,SAN JUAN,True,10.4
2019,5,PATAGONIA,CHUBUT,True,7.3
2019,5,CUYO,MENDOZA,True,0.0
2019,5,NOROESTE,TUCUMAN,True,0.2
2019,5,CENTRO,CORDOBA,True,0.0
2019,5,CUYO,MENDOZA,True,2.1
2019,5,CENTRO,CORDOBA,True,6.9
2019,5,CENTRO,CORDOBA,True,0.0
2019,5,COMAHUE,RIO NEGRO,True,0.5
2019,5,COMAHUE,RIO NEGRO,True,0.6
2019,5,CUYO,MENDOZA,True,0.5
2019,5,CUYO,SAN JUAN,True,1.9
2019,5,NOROESTE,TUCUMAN,True,1.8
2019,5,CUYO,MENDOZA,True,1.0
2019,5,CENTRO,CORDOBA,True,6.3
2019,5,CUYO,MENDOZA,True,0.6
2019,5,NOROESTE,JUJUY,True,8.3
2019,5,CENTRO,CORDOBA,True,2.0
2019,5,NOROESTE,SANTIAGO DEL ESTERO,True,0.0
2019,5,CUYO,MENDOZA,True,0.4
2019,5,CENTRO,CORDOBA,True,2.4
2019,5,CUYO,MENDOZA,True,0.0
2019,5,CENTRO,CORDOBA,True,3.6
2019,5,NOROESTE,TUCUMAN,True,4.7
2019,5,CUYO,SAN JUAN,True,8.2
2019,5,CENTRO,CORDOBA,True,7.6
2019,5,COMAHUE,RIO NEGRO,True,1.8
2019,5,NOROESTE,SANTIAGO DEL ESTERO,True,12.3
2019,5,COMAHUE,RIO NEGRO,True,0.6
2019,5,NOROESTE,JUJUY,True,2.2
2019,5,CUYO,SAN JUAN,True,0.1
2019,5,COMAHUE,RIO NEGRO,True,0.0
2019,5,LITORAL,SANTA FE,True,0.0
2019,5,CUYO,SAN JUAN,True,0.0
2019,5,CUYO,MENDOZA,True,1.1
2019,5,CENTRO,CORDOBA,True,5.1
2019,5,NOROESTE,SALTA,True,3.8
2019,5,CUYO,SAN JUAN,True,10.8
2019,6,PATAGONIA,CHUBUT,True,6.1
2019,6,CUYO,MENDOZA,True,0.0
2019,6,NOROESTE,TUCUMAN,True,2.0
2019,6,CENTRO,CORDOBA,True,0.0
2019,6,CUYO,MENDOZA,True,0.0
2019,6,CENTRO,CORDOBA,True,5.0
2019,6,CENTRO,CORDOBA,True,0.1
2019,6,COMAHUE,RIO NEGRO,True,0.2
2019,6,COMAHUE,RIO NEGRO,True,0.0
2019,6,CUYO,MENDOZA,True,0.1
2019,6,CUYO,SAN JUAN,True,0.8
2019,6,NOROESTE,TUCUMAN,True,1.0
2019,6,CUYO,MENDOZA,True,0.2
2019,6,CENTRO,CORDOBA,True,5.3
2019,6,CUYO,MENDOZA,True,0.4
2019,6,NOROESTE,JUJUY,True,3.9
2019,6,CENTRO,CORDOBA,True,1.3
2019,6,NOROESTE,SANTIAGO DEL ESTERO,True,0.5
2019,6,CUYO,MENDOZA,True,0.0
2019,6,CENTRO,CORDOBA,True,1.7
2019,6,CUYO,MENDOZA,True,0.1
2019,6,CENTRO,CORDOBA,True,3.9
2019,6,NOROESTE,TUCUMAN,True,2.7
2019,6,CUYO,SAN JUAN,True,0.4
2019,6,CENTRO,CORDOBA,True,4.1
2019,6,COMAHUE,RIO NEGRO,True,3.3
2019,6,NOROESTE,SANTIAGO DEL ESTERO,True,11.6
2019,6,COMAHUE,RIO NEGRO,True,0.0
2019,6,NOROESTE,JUJUY,True,1.7
2019,6,CUYO,SAN JUAN,True,0.1
2019,6,COMAHUE,RIO NEGRO,True,0.0
2019,6,LITORAL,SANTA FE,True,0.0
2019,6,CUYO,SAN JUAN,True,0.0
2019,6,CUYO,MENDOZA,True,0.0
2019,6,CENTRO,CORDOBA,True,3.8
2019,6,NOROESTE,SALTA,True,3.7
2019,6,CUYO,SAN JUAN,True,19.0
2019,7,PATAGONIA,CHUBUT,True,6.6
2019,7,CUYO,MENDOZA,True,0.0
2019,7,NOROESTE,TUCUMAN,True,1.5
2019,7,CENTRO,CORDOBA,True,0.0
2019,7,CUYO,MENDOZA,True,0.0
2019,7,CENTRO,CORDOBA,True,5.0
2019,7,CENTRO,CORDOBA,True,0.1
2019,7,COMAHUE,RIO NEGRO,True,3.1
2019,7,COMAHUE,RIO NEGRO,True,0.0
2019,7,CUYO,MENDOZA,True,0.0
2019,7,CUYO,SAN JUAN,True,2.2
2019,7,NOROESTE,TUCUMAN,True,2.7
2019,7,CUYO,MENDOZA,True,0.0
2019,7,CENTRO,CORDOBA,True,5.5
2019,7,CUYO,MENDOZA,True,0.4
2019,7,NOROESTE,JUJUY,True,4.3
2019,7,CENTRO,CORDOBA,True,1.3
2019,7,NOROESTE,SANTIAGO DEL ESTERO,True,1.0
2019,7,CUYO,MENDOZA,True,0.0
2019,7,CENTRO,CORDOBA,True,2.1
2019,7,CUYO,MENDOZA,True,0.0
2019,7,CENTRO,CORDOBA,True,3.0
2019,7,NOROESTE,TUCUMAN,True,2.1
2019,7,CUYO,SAN JUAN,True,0.0
2019,7,CENTRO,CORDOBA,True,4.3
2019,7,COMAHUE,RIO NEGRO,True,1.7
2019,7,NOROESTE,SANTIAGO DEL ESTERO,True,11.7
2019,7,COMAHUE,RIO NEGRO,True,0.0
2019,7,NOROESTE,JUJUY,True,1.7
2019,7,CUYO,SAN JUAN,True,0.1
2019,7,COMAHUE,RIO NEGRO,True,0.0
2019,7,LITORAL,SANTA FE,True,0.0
2019,7,CUYO,SAN JUAN,True,0.0
2019,7,CUYO,MENDOZA,True,0.0
2019,7,CENTRO,CORDOBA,True,4.5
2019,7,NOROESTE,SALTA,True,5.0
2019,7,CUYO,SAN JUAN,True,8.8
2019,8,PATAGONIA,CHUBUT,True,6.6
2019,8,CUYO,MENDOZA,True,0.0
2019,8,NOROESTE,TUCUMAN,True,2.8
2019,8,CENTRO,CORDOBA,True,0.0
2019,8,CUYO,MENDOZA,True,2.9
2019,8,CENTRO,CORDOBA,True,5.7
2019,8,CENTRO,CORDOBA,True,0.1
2019,8,COMAHUE,RIO NEGRO,True,3.7
2019,8,COMAHUE,RIO NEGRO,True,0.0
2019,8,CUYO,MENDOZA,True,0.6
2019,8,CUYO,SAN JUAN,True,1.2
2019,8,NOROESTE,TUCUMAN,True,4.4
2019,8,CUYO,MENDOZA,True,1.8
2019,8,CENTRO,CORDOBA,True,6.1
2019,8,CUYO,MENDOZA,True,0.5
2019,8,NOROESTE,JUJUY,True,5.8
2019,8,CENTRO,CORDOBA,True,1.6
2019,8,NOROESTE,SANTIAGO DEL ESTERO,True,1.0
2019,8,CUYO,MENDOZA,True,0.2
2019,8,CENTRO,CORDOBA,True,2.7
2019,8,CUYO,MENDOZA,True,2.2
2019,8,CENTRO,CORDOBA,True,3.8
2019,8,NOROESTE,TUCUMAN,True,1.7
2019,8,CUYO,SAN JUAN,True,8.6
2019,8,CENTRO,CORDOBA,True,5.0
2019,8,COMAHUE,RIO NEGRO,True,1.3
2019,8,NOROESTE,SANTIAGO DEL ESTERO,True,12.8
2019,8,COMAHUE,RIO NEGRO,True,0.2
2019,8,NOROESTE,JUJUY,True,1.5
2019,8,CUYO,SAN JUAN,True,0.1
2019,8,COMAHUE,RIO NEGRO,True,0.6
2019,8,LITORAL,SANTA FE,True,0.0
2019,8,CUYO,SAN JUAN,True,0.0
2019,8,CUYO,MENDOZA,True,0.5
2019,8,CENTRO,CORDOBA,True,4.9
2019,8,NOROESTE,SALTA,True,4.2
2019,8,CUYO,SAN JUAN,True,10.8
2019,9,PATAGONIA,CHUBUT,True,8.5
2019,9,CUYO,MENDOZA,True,0.0
2019,9,NOROESTE,TUCUMAN,True,3.0
2019,9,CENTRO,CORDOBA,True,0.0
2019,9,CUYO,MENDOZA,True,6.6
2019,9,CENTRO,CORDOBA,True,4.8
2019,9,CENTRO,CORDOBA,True,0.1
2019,9,COMAHUE,RIO NEGRO,True,3.3
2019,9,COMAHUE,RIO NEGRO,True,2.9
2019,9,CUYO,MENDOZA,True,1.9
2019,9,CUYO,SAN JUAN,True,3.2
2019,9,NOROESTE,TUCUMAN,True,4.7
2019,9,CUYO,MENDOZA,True,3.4
2019,9,CENTRO,CORDOBA,True,4.8
2019,9,CUYO,MENDOZA,True,0.6
2019,9,NOROESTE,JUJUY,True,8.3
2019,9,CENTRO,CORDOBA,True,1.3
2019,9,NOROESTE,SANTIAGO DEL ESTERO,True,0.9
2019,9,CUYO,MENDOZA,True,0.2
2019,9,CENTRO,CORDOBA,True,3.7
2019,9,CUYO,MENDOZA,True,12.3
2019,9,CENTRO,CORDOBA,True,4.1
2019,9,NOROESTE,TUCUMAN,True,1.6
2019,9,CUYO,SAN JUAN,True,8.0
2019,9,CENTRO,CORDOBA,True,4.1
2019,9,COMAHUE,RIO NEGRO,True,0.8
2019,9,NOROESTE,SANTIAGO DEL ESTERO,True,12.0
2019,9,COMAHUE,RIO NEGRO,True,2.2
2019,9,NOROESTE,JUJUY,True,1.3
2019,9,CUYO,SAN JUAN,True,0.2
2019,9,COMAHUE,RIO NEGRO,True,2.6
2019,9,LITORAL,SANTA FE,True,0.0
2019,9,CUYO,SAN JUAN,True,0.0
2019,9,CUYO,MENDOZA,True,1.2
2019,9,CENTRO,CORDOBA,True,4.3
2019,9,NOROESTE,SALTA,True,4.4
2019,9,CUYO,SAN JUAN,True,13.7
2019,10,PATAGONIA,CHUBUT,True,9.5
2019,10,CUYO,MENDOZA,True,0.0
2019,10,NOROESTE,TUCUMAN,True,3.5
2019,10,CENTRO,CORDOBA,True,0.0
2019,10,CUYO,MENDOZA,True,5.5
2019,10,CENTRO,CORDOBA,True,3.6
2019,10,CENTRO,CORDOBA,True,0.1
2019,10,COMAHUE,RIO NEGRO,True,3.2
2019,10,COMAHUE,RIO NEGRO,True,3.5
2019,10,CUYO,MENDOZA,True,2.0
2019,10,CUYO,SAN JUAN,True,3.4
2019,10,NOROESTE,TUCUMAN,True,8.2
2019,10,CUYO,MENDOZA,True,3.6
2019,10,CENTRO,CORDOBA,True,3.8
2019,10,CUYO,MENDOZA,True,0.7
2019,10,NOROESTE,JUJUY,True,8.6
2019,10,CENTRO,CORDOBA,True,1.6
2019,10,NOROESTE,SANTIAGO DEL ESTERO,True,0.8
2019,10,CUYO,MENDOZA,True,0.0
2019,10,CENTRO,CORDOBA,True,5.0
2019,10,CUYO,MENDOZA,True,5.2
2019,10,CENTRO,CORDOBA,True,2.3
2019,10,NOROESTE,TUCUMAN,True,1.9
2019,10,CUYO,SAN JUAN,True,1.1
2019,10,CENTRO,CORDOBA,True,3.1
2019,10,COMAHUE,RIO NEGRO,True,2.5
2019,10,NOROESTE,SANTIAGO DEL ESTERO,True,11.4
2019,10,COMAHUE,RIO NEGRO,True,2.3
2019,10,NOROESTE,JUJUY,True,1.1
2019,10,CUYO,SAN JUAN,True,0.2
2019,10,COMAHUE,RIO NEGRO,True,2.6
2019,10,LITORAL,SANTA FE,True,0.1
2019,10,CUYO,SAN JUAN,True,0.0
2019,10,CUYO,MENDOZA,True,1.6
2019,10,CENTRO,CORDOBA,True,5.0
2019,10,NOROESTE,SALTA,True,5.9
2019,10,CUYO,SAN JUAN,True,16.8
2019,11,PATAGONIA,CHUBUT,True,10.4
2019,11,CUYO,MENDOZA,True,0.0
2019,11,NOROESTE,TUCUMAN,True,4.4
2019,11,CENTRO,CORDOBA,True,0.0
2019,11,CUYO,MENDOZA,True,4.0
2019,11,CENTRO,CORDOBA,True,2.8
2019,11,CENTRO,CORDOBA,True,0.0
2019,11,COMAHUE,RIO NEGRO,True,2.8
2019,11,COMAHUE,RIO NEGRO,True,3.4
2019,11,CUYO,MENDOZA,True,2.1
2019,11,CUYO,SAN JUAN,True,3.5
2019,11,NOROESTE,TUCUMAN,True,7.7
2019,11,CUYO,MENDOZA,True,3.5
2019,11,CENTRO,CORDOBA,True,2.9
2019,11,CUYO,MENDOZA,True,0.6
2019,11,NOROESTE,JUJUY,True,8.5
2019,11,CENTRO,CORDOBA,True,1.4
2019,11,NOROESTE,SANTIAGO DEL ESTERO,True,0.6
2019,11,CUYO,MENDOZA,True,0.2
2019,11,CENTRO,CORDOBA,True,4.3
2019,11,CUYO,MENDOZA,True,5.5
2019,11,CENTRO,CORDOBA,True,2.4
2019,11,NOROESTE,TUCUMAN,True,2.7
2019,11,CUYO,SAN JUAN,True,4.7
2019,11,CENTRO,CORDOBA,True,2.2
2019,11,COMAHUE,RIO NEGRO,True,2.8
2019,11,NOROESTE,SANTIAGO DEL ESTERO,True,11.3
2019,11,COMAHUE,RIO NEGRO,True,2.2
2019,11,NOROESTE,JUJUY,True,1.0
2019,11,CUYO,SAN JUAN,True,0.3
2019,11,COMAHUE,RIO NEGRO,True,2.1
2019,11,LITORAL,SANTA FE,True,0.1
2019,11,CUYO,SAN JUAN,True,0.0
2019,11,CUYO,MENDOZA,True,1.7
2019,11,CENTRO,CORDOBA,True,3.6
2019,11,NOROESTE,SALTA,True,5.2
2019,11,CUYO,SAN JUAN,True,17.1
2019,12,PATAGONIA,CHUBUT,True,11.3
2019,12,CUYO,MENDOZA,True,0.0
2019,12,NOROESTE,TUCUMAN,True,2.5
2019,12,CENTRO,CORDOBA,True,0.0
2019,12,CUYO,MENDOZA,True,4.3
2019,12,CENTRO,CORDOBA,True,3.1
2019,12,CENTRO,CORDOBA,True,0.1
2019,12,COMAHUE,RIO NEGRO,True,2.8
2019,12,COMAHUE,RIO NEGRO,True,3.3
2019,12,CUYO,MENDOZA,True,2.1
2019,12,CUYO,SAN JUAN,True,3.3
2019,12,NOROESTE,TUCUMAN,True,11.5
2019,12,CUYO,MENDOZA,True,3.6
2019,12,CENTRO,CORDOBA,True,3.4
2019,12,CUYO,MENDOZA,True,0.6
2019,12,NOROESTE,JUJUY,True,4.8
2019,12,CENTRO,CORDOBA,True,2.3
2019,12,NOROESTE,SANTIAGO DEL ESTERO,True,0.7
2019,12,CUYO,MENDOZA,True,0.5
2019,12,CENTRO,CORDOBA,True,2.8
2019,12,CUYO,MENDOZA,True,8.6
2019,12,CENTRO,CORDOBA,True,2.1
2019,12,NOROESTE,TUCUMAN,True,3.1
2019,12,CUYO,SAN JUAN,True,10.3
2019,12,CENTRO,CORDOBA,True,2.5
2019,12,COMAHUE,RIO NEGRO,True,3.1
2019,12,NOROESTE,SANTIAGO DEL ESTERO,True,12.1
2019,12,COMAHUE,RIO NEGRO,True,2.2
2019,12,NOROESTE,JUJUY,True,1.2
2019,12,CUYO,SAN JUAN,True,0.3
2019,12,COMAHUE,RIO NEGRO,True,2.6
2019,12,LITORAL,SANTA FE,True,0.1
2019,12,CUYO,SAN JUAN,True,0.0
2019,12,CUYO,MENDOZA,True,2.0
2019,12,CENTRO,CORDOBA,True,4.7
2019,12,NOROESTE,SALTA,True,4.2
2019,12,CUYO,SAN JUAN,True,18.7
2020,1,PATAGONIA,CHUBUT,True,11.7
2020,1,CUYO,MENDOZA,True,0.0
2020,1,NOROESTE,TUCUMAN,True,1.5
2020,1,CENTRO,CORDOBA,True,0.0
2020,1,CUYO,MENDOZA,True,2.7
2020,1,CENTRO,CORDOBA,True,3.2
2020,1,CENTRO,CORDOBA,True,0.1
2020,1,COMAHUE,RIO NEGRO,True,3.1
2020,1,COMAHUE,RIO NEGRO,True,3.4
2020,1,CUYO,MENDOZA,True,2.4
2020,1,CUYO,SAN JUAN,True,2.7
2020,1,NOROESTE,TUCUMAN,True,3.1
2020,1,CUYO,MENDOZA,True,3.8
2020,1,CENTRO,CORDOBA,True,3.8
2020,1,CUYO,MENDOZA,True,0.6
2020,1,NOROESTE,JUJUY,True,4.7
2020,1,CENTRO,CORDOBA,True,1.9
2020,1,NOROESTE,SANTIAGO DEL ESTERO,True,1.0
2020,1,CUYO,MENDOZA,True,0.4
2020,1,CENTRO,CORDOBA,True,3.1
2020,1,CUYO,MENDOZA,True,3.4
2020,1,CENTRO,CORDOBA,True,2.1
2020,1,NOROESTE,TUCUMAN,True,2.3
2020,1,CUYO,SAN JUAN,True,10.9
2020,1,CENTRO,CORDOBA,True,2.9
2020,1,COMAHUE,RIO NEGRO,True,2.7
2020,1,NOROESTE,SANTIAGO DEL ESTERO,True,11.9
2020,1,COMAHUE,RIO NEGRO,True,2.0
2020,1,NOROESTE,JUJUY,True,1.2
2020,1,CUYO,SAN JUAN,True,0.1
2020,1,COMAHUE,RIO NEGRO,True,3.0
2020,1,LITORAL,SANTA FE,True,0.0
2020,1,CUYO,SAN JUAN,True,0.0
2020,1,CUYO,MENDOZA,True,1.5
2020,1,CENTRO,CORDOBA,True,6.5
2020,1,NOROESTE,SALTA,True,3.2
2020,1,CUYO,SAN JUAN,True,21.5
2020,2,PATAGONIA,CHUBUT,True,10.6
2020,2,CUYO,MENDOZA,True,0.0
2020,2,NOROESTE,TUCUMAN,True,4.2
2020,2,CENTRO,CORDOBA,True,0.0
2020,2,CUYO,MENDOZA,True,3.0
2020,2,CENTRO,CORDOBA,True,6.0
2020,2,CENTRO,CORDOBA,True,0.1
2020,2,COMAHUE,RIO NEGRO,True,2.8
2020,2,COMAHUE,RIO NEGRO,True,3.1
2020,2,CUYO,MENDOZA,True,2.0
2020,2,CUYO,SAN JUAN,True,2.2
2020,2,NOROESTE,TUCUMAN,True,8.1
2020,2,CUYO,MENDOZA,True,3.1
2020,2,CENTRO,CORDOBA,True,4.9
2020,2,CUYO,MENDOZA,True,0.6
2020,2,NOROESTE,JUJUY,True,4.1
2020,2,CENTRO,CORDOBA,True,1.1
2020,2,NOROESTE,SANTIAGO DEL ESTERO,True,0.8
2020,2,CUYO,MENDOZA,True,0.4
2020,2,CUYO,MENDOZA,True,0.0
2020,2,CENTRO,CORDOBA,True,1.8
2020,2,CUYO,MENDOZA,True,2.0
2020,2,CENTRO,CORDOBA,True,3.0
2020,2,NOROESTE,TUCUMAN,True,2.4
2020,2,CUYO,SAN JUAN,True,6.2
2020,2,CENTRO,CORDOBA,True,6.4
2020,2,COMAHUE,RIO NEGRO,True,0.9
2020,2,NOROESTE,SANTIAGO DEL ESTERO,True,10.8
2020,2,COMAHUE,RIO NEGRO,True,2.0
2020,2,NOROESTE,JUJUY,True,2.2
2020,2,CUYO,SAN JUAN,True,0.0
2020,2,COMAHUE,RIO NEGRO,True,2.5
2020,2,LITORAL,SANTA FE,True,0.1
2020,2,CUYO,SAN JUAN,True,0.0
2020,2,CUYO,MENDOZA,True,1.2
2020,2,CENTRO,CORDOBA,True,6.7
2020,2,CUYO,MENDOZA,True,0.2
2020,2,NOROESTE,SALTA,True,5.7
2020,2,CUYO,SAN JUAN,True,18.7
2020,3,PATAGONIA,CHUBUT,True,10.1
2020,3,CUYO,MENDOZA,True,0.0
2020,3,NOROESTE,TUCUMAN,True,4.6
2020,3,CENTRO,CORDOBA,True,0.0
2020,3,CUYO,MENDOZA,True,0.6
2020,3,CENTRO,CORDOBA,True,4.8
2020,3,CENTRO,CORDOBA,True,0.2
2020,3,COMAHUE,RIO NEGRO,True,3.3
2020,3,COMAHUE,RIO NEGRO,True,3.3
2020,3,CUYO,MENDOZA,True,1.1
2020,3,CUYO,SAN JUAN,True,2.2
2020,3,NOROESTE,TUCUMAN,True,3.6
2020,3,CUYO,MENDOZA,True,1.7
2020,3,CENTRO,CORDOBA,True,4.7
2020,3,CUYO,MENDOZA,True,0.7
2020,3,NOROESTE,JUJUY,True,5.4
2020,3,CENTRO,CORDOBA,True,1.6
2020,3,NOROESTE,SANTIAGO DEL ESTERO,True,0.9
2020,3,CUYO,MENDOZA,True,0.4
2020,3,CUYO,MENDOZA,True,1.1
2020,3,CENTRO,CORDOBA,True,3.9
2020,3,CUYO,MENDOZA,True,0.3
2020,3,CENTRO,CORDOBA,True,2.8
2020,3,NOROESTE,TUCUMAN,True,5.2
2020,3,CUYO,SAN JUAN,True,6.4
2020,3,CENTRO,CORDOBA,True,3.9
2020,3,COMAHUE,RIO NEGRO,True,0.2
2020,3,NOROESTE,SANTIAGO DEL ESTERO,True,11.9
2020,3,COMAHUE,RIO NEGRO,True,1.6
2020,3,NOROESTE,JUJUY,True,2.6
2020,3,CUYO,SAN JUAN,True,0.0
2020,3,COMAHUE,RIO NEGRO,True,1.6
2020,3,LITORAL,SANTA FE,True,0.1
2020,3,CUYO,SAN JUAN,True,0.0
2020,3,CUYO,MENDOZA,True,1.7
2020,3,CENTRO,CORDOBA,True,5.6
2020,3,CUYO,MENDOZA,True,0.2
2020,3,NOROESTE,SALTA,True,4.8
2020,3,CUYO,SAN JUAN,True,7.2
2020,4,PATAGONIA,CHUBUT,True,7.8
2020,4,CUYO,MENDOZA,True,0.0
2020,4,NOROESTE,TUCUMAN,True,4.7
2020,4,CENTRO,CORDOBA,True,0.0
2020,4,CUYO,MENDOZA,True,0.0
2020,4,CENTRO,CORDOBA,True,6.0
2020,4,CENTRO,CORDOBA,True,0.2
2020,4,COMAHUE,RIO NEGRO,True,3.5
2020,4,COMAHUE,RIO NEGRO,True,3.3
2020,4,CUYO,MENDOZA,True,0.6
2020,4,CUYO,SAN JUAN,True,1.3
2020,4,NOROESTE,TUCUMAN,True,5.0
2020,4,CUYO,MENDOZA,True,0.9
2020,4,CENTRO,CORDOBA,True,6.2
2020,4,CUYO,MENDOZA,True,0.6
2020,4,NOROESTE,JUJUY,True,7.7
2020,4,CENTRO,CORDOBA,True,2.4
2020,4,NOROESTE,SANTIAGO DEL ESTERO,True,0.9
2020,4,CUYO,MENDOZA,True,0.3
2020,4,CUYO,MENDOZA,True,1.0
2020,4,CENTRO,CORDOBA,True,3.0
2020,4,CUYO,MENDOZA,True,0.0
2020,4,CENTRO,CORDOBA,True,3.5
2020,4,NOROESTE,TUCUMAN,True,5.3
2020,4,CUYO,SAN JUAN,True,3.2
2020,4,CENTRO,CORDOBA,True,4.9
2020,4,COMAHUE,RIO NEGRO,True,0.9
2020,4,NOROESTE,SANTIAGO DEL ESTERO,True,11.6
2020,4,COMAHUE,RIO NEGRO,True,1.7
2020,4,NOROESTE,JUJUY,True,2.9
2020,4,CUYO,SAN JUAN,True,0.1
2020,4,COMAHUE,RIO NEGRO,True,0.0
2020,4,LITORAL,SANTA FE,True,0.0
2020,4,CUYO,SAN JUAN,True,0.0
2020,4,CUYO,MENDOZA,True,1.1
2020,4,CENTRO,CORDOBA,True,5.1
2020,4,CUYO,MENDOZA,True,0.0
